community_area,crime_count,police_311_count
1,4646,0
2,4024,0
3,4612,0
4,2216,0
5,1497,0
6,6567,0
7,3936,0
8,11187,0
9,294,0
10,1282,0
11,1146,0
12,538,0
13,932,0
14,2571,0
15,3540,0
16,2832,0
17,1776,0
18,713,0
19,4979,0
20,1622,0
21,2222,0
22,5248,0
23,6988,0
24,8019,0
25,12689,0
26,4010,0
27,4233,0
28,10414,0
29,7147,0
30,4443,0
31,3076,0
32,8803,0
33,2721,0
34,1148,0
35,3177,0
36,982,0
37,726,0
38,3844,0
39,2065,0
40,2586,0
41,2462,0
42,3732,0
43,8787,0
44,6382,0
45,1199,0
46,4384,0
47,342,0
48,1542,0
49,6109,0
50,1098,0
51,2067,0
52,1476,0
53,3608,0
54,1286,0
55,773,0
56,2287,0
57,1028,0
58,2311,0
59,970,0
60,1628,0
61,4442,0
62,1069,0
63,2377,0
64,1248,0
65,1860,0
66,5279,0
67,4806,0
68,5107,0
69,6757,0
70,2433,0
71,6878,0
72,1017,0
73,3244,0
74,547,0
75,1969,0
76,1880,0
77,3349,0
